il_ju,content_ko,content_en
계미,맑음을 좋아하는 성품을 타고난 당신은 총명하고 영리한 데다가 마음씨까지 따뜻한 사람이에요. 공감력이 뛰어난 사람이지요. 대인 관계가 원만하니 늘 바쁘고 분주합니다. 사람들과의 따뜻한 관계가 행복의 원천이니까요. 반면에 자신은 완성체라는 높은 자존감을 가지고 있습니다. 따라서 생활력이 매우 강하겠지요. 어떤 환경에서도 희망을 찾는 자생력을 지니고 있습니다. 행복에 대해 자기만의 철학을 가지고 있어서 그래요. 자족하는 삶이 무엇인지 보여 주는 사람이군요. 그러나 하기로 한 일은 반드시 해야 한다는 원칙으로 자기 자신을 괴롭히는 경우가 많습니다. 이런 성향은 사회적으로 책임 있는 자리를 맡기에는 매우 필요한 덕목이지만 지나치게 지속되면 우울이 찾아 옵니다. 그렇다고 좌절하면 당신이 아니죠. 명랑한 기분을 되찾기 위해 할 수 있는 모든 방법을 동원해 결국 명랑해집니다. 가벼워 보이지만 상당한 무게감을 가진 사람입니다. 새로운 일에 있어서도 시작이 어렵지 시작만 했다 하면 끝까지 밀어 붙여 반드시 성공시킵니다. 자족하는 태도가 현재를 붙잡고 있어서 시작이 어려운 것이지요. 하지만 총명한 머리와 좋은 인맥 덕에 찾아 온 기회를 놓치는 일은 없습니다. 당신은 타고난 부지런함과 명랑함으로 세상을 밝게 만드는 사람입니다.,"You have a brilliant mind, capable of achieving great things with an innate love for beauty and a warm heart. You excel in empathy, and your relationships are marked by love and warmth. Your strong self-worth ensures that you thrive in any environment. Your ability to live independently and embrace life's challenges will lead to a fulfilling life."
임오,"부드럽고 온유한 성격을 타고난 당신은 자유분방하지만 성실성과 책임감도 뛰어난 사람이에요. 놀면서도 자기 할 일은 다 해내는 사람이지요. 새로운 질서에 대한 욕망 때문에 호기심이 많습니다. 반전이 몸에 밴 이유가 이 호기심 때문이지요. 하지만 한번 정하면 끝내 이루고야 마는 우직한 힘을 가졌습니다. 그런 기질 때문에 한번 좋은 사람은 평생 좋은 사람이고, 나쁜 사람은 영원히 나쁜 사람이라고 생각하는 경향이 있습니다. 조금만 유연해진다면 평생 안정적인 재물복을 누리며 행복하게 사는 사람입니다.","You were born with a gentle and kind-hearted nature, and while you have a free-spirited personality, you are also highly diligent and responsible. You manage to complete your tasks while having fun. Your curiosity, driven by a desire for new order, fuels your adventurous spirit. This curiosity also gives rise to unexpected twists in your character. However, once you set your mind on something, you possess the stubborn willpower to achieve it. Because of this, you tend to believe that once someone is a good person, they will always be a good person, and once someone is a bad person, they will forever remain so. If you become a little more flexible, you will lead a life filled with stability and happiness, enjoying lifelong prosperity."
신사,결단력을 타고나 맺고 끊음이 분명한 당신은 완벽주의를 추구하는 사람이에요. 하지만 의외로 새로운 변화를 갈망합니다. 야무지고 정교하고 날카로운 성품 때문에 매사에 결벽증적인 예민함을 드러내기도 합니다. 그보다 더 중요한 특징은 기가 막힌 촉을 타고났다는 사실입니다. 새로움과 완벽함이 부딪쳐 놀라운 촉을 만들어 내는 것이지요. 일을 잘 한다는 장점을 살리되 자기가 좋아하지 않는 사람도 인정하는 아량을 키운다면 역사에 남을 리더가 되는 사람입니다.,"You were born with strong decision-making skills and a clear sense of what to commit to and what to let go. You are a perfectionist but surprisingly crave new changes. Due to your sharp and meticulous nature, you can sometimes display obsessive behavior, but more importantly, you possess an uncanny intuition. The clash between your craving for perfection and your pursuit of novelty creates remarkable insights. If you can learn to accept those you don't like while utilizing your ability to succeed at work, you will become a leader remembered in history."
경진,두뇌 회전이 빠르고 심신이 강건한 당신은 인내심 강한 노력파입니다. 옳지 않은 일을 용납하지 않는 정의감이 장점인 사람이에요. 근본 성품이 의리가 있고 매사를 밀어 붙이는 힘이 대단합니다. 하지만 지나친 자기 확신으로 인한 주장이 강해 주변 사람들과 부딪치기도 합니다. 때론 자신을 굽히는 유연성만 발휘한다면 크게 성공하는 사람입니다.,"With a quick mind and strong body, you are a person of great perseverance. Your strong sense of justice makes you intolerant of wrongdoing. Your inherent loyalty and relentless drive are remarkable, but your strong self-confidence often leads to clashes with others. If you embrace flexibility and learn to humble yourself, you will experience great success."
기묘,고요한 성품을 타고난 당신은 안정적인 에너지를 깨끗하게 뿜어내는 사람이에요. 가족을 가장 소중하게 생각합니다. 자상한 사람이죠. 따라서 안정적인 상태를 추구하고 유지하려 노력합니다. 조용하지만 단단하게 자신의 힘을 발휘해 안정된 삶을 사는 사람이에요.,"You have a calm and stable nature, emitting pure energy, and you value family above all else. You are a caring and gentle person, always striving to maintain a secure and peaceful life. While quiet, you steadfastly exert your energy to lead a stable life."
무인,"궂은 일에는 자신이 먼저 앞장서야 직성이 풀리는 당신은, 솔선수범으로 인정받는 리더의 기질을 타고난 사람이에요. 분명한 자기 확신을 가지고 행동합니다. 만인의 지도자이자 만인을 위한 봉사자이기도 합니다. 강한 주체성 때문에 감정 조절이 잘 안되는 게 문제지만, 오히려 그 감정 표현이 매력적인 사람이에요.","You have a natural inclination to take charge of difficult tasks, and you thrive when you lead by example. You act with strong self-confidence, serving others selflessly while asserting your leadership. Your intense individuality sometimes leads to difficulty controlling your emotions, but ironically, it is your passionate emotional expression that makes you an appealing person."
정축,지혜롭고 따뜻한 당신은 우수가 깃든 깊이 있는 외모를 지닌 사람이에요. 고상한 멋을 추구하고 자신의 매력을 잘 표현합니다. 그러면서도 자산 관리 능력이 뛰어나고 독점욕이 커서 반드시 성공하는 사람입니다.,"You are wise and warm-hearted, with a profound appearance that reflects inner depth. You pursue high elegance and are able to express your own charm beautifully. At the same time, you excel in asset management and possess a strong desire for exclusivity, ensuring your success."
병자,천성이 인자하고 고결한 당신은 단정한 외모와 바른 판단력을 지녔지만 의외로 완전 기분파입니다. 이 반전 매력이 치명적인 사람이에요.,"With a kind and noble nature, you possess a well-groomed appearance and sound judgment, though you have a surprising streak of moodiness. This unexpected charm is what makes you intriguing."
을해,"외유내강, 인간적이고 고상한 성품을 지닌 당신은 겉은 온유하고 부드러워 보이지만 내면은 강한 집념으로 격렬하게 소용돌이치는 사람이에요. 하나에 꽂히면 끝장을 보는 사람이지만 수행을 통해 이상을 실현하려는 사람이기도 합니다. 그 고상한 노력으로 세상을 수준 높게 만드는 사람입니다.","You are a person with a strong inner drive, appearing gentle and soft on the outside but possessing an intense, passionate spirit. Once you set your sights on something, you pursue it relentlessly, working to achieve your ideals. Through your noble efforts, you aim to elevate the world to a higher standard."
갑술,"타고난 사업적 재능과 뛰어난 언변의 소유자인 당신은 재물운이 넘치지만 왠지 모를 고독한 매력을 지닌 사람이에요. 재물만으로는 만족하지 못해서 그래요. 그래서 더 높은 단계의 영적인 만족을 추구하게 됩니다. 봄의 시작과 가을의 마무리가 어우러진 것 같은 탁월한 말솜씨로 널리 사람들에게 사랑받고, 그 사랑으로 사람을 살리는 사람이에요.","Born with exceptional business talent and eloquence, you have an abundance of wealth and a strangely captivating aura of solitude. You are not content with material success alone, which drives you to seek higher spiritual satisfaction. With a blend of spring’s beginning and autumn’s conclusion, your eloquence makes you widely loved, and through this affection, you uplift others."
계유,"총명한 두뇌와 화려한 감각을 타고난 당신은 다재다능하고 수완이 좋은 사람이에요. 자신을 화려하게 꾸미는 것에 대해 천부적인 감각을 지녔습니다. 하지만 명품으로 치장하는 행위는 경멸하며, 자신만의 소신과 원칙으로 멋을 내는 사람입니다. 깨끗하고 맑은 기운이 내면에서 흘러 나오기 때문이지요. 당연히 청렴 결백한 성품이 따라 옵니다. 또한 적게 배워도 크게 이룰 수 있는 재능을 타고났네요. 배움에 있어서는 가성비 갑입니다. 하지만 자신의 재주를 과신한 나머지 자기 꾀에 자기가 넘어 가는 경우가 있습니다. 일반적이지 않은 분야에서 특출난 재능을 발휘합니다. 맑고 여린 마음과 독하고 잔인한 기질이 충돌하면서 생기는 재능이지요. 생애를 통틀어 어느 쪽으로 터질지 모르는 엄청난 잠재력을 만드는 힘이기도 합니다. 반면에 약자에게 무한한 연민을 가지고 베푸는 마음을 지녔습니다. 그 마음을 자신의 프로페셔널한 재능과 접목시킨다면 역사에 남을 선한 일을 할 수 있는 사람입니다.","Gifted with sharp intelligence and a refined sense of style, you are versatile and highly resourceful. You have an innate sense of fashion, though you disdain superficial displays of wealth and prefer to maintain your individuality and principles. A pure and clear aura emanates from within you, naturally leading to a sense of integrity. Despite being highly talented, you tend to be overly confident in your abilities and occasionally fall prey to your own cunning. You excel in unconventional fields, where your unique talents shine. Your delicate heart and harsh temperament create a powerful potential that may unfold in unexpected ways, but your immense compassion for the weak could lead you to perform great deeds if you combine your professional skills with kindness."
임신,좋은 두뇌와 완벽주의 기질을 타고난 당신은 고상한 것을 좋아하고 실제로 고상한 사람이에요. 문화예술적 재능뿐만 아니라 학문에서도 높은 성취를 이루는 재능을 가진 사람입니다. 타고난 재능을 통해 시작은 잘 하는데 마무리가 부족한 경우가 종종 있습니다. 하지만 넓은 포용력과 냉철한 판단력으로 결국은 성공하는 사람이에요.,"With a sharp intellect and a penchant for perfection, you are someone who appreciates and embodies refinement. You possess both artistic and scholarly talents, excelling in both areas. While you may begin projects with ease, your completion can sometimes fall short. However, your broad tolerance and sharp judgment ensure eventual success."
신미,"이해심을 타고난 당신은 남의 이야기를 잘 들어 주는 공감력이 뛰어난 사람이에요. 하지만 내면의 자존심은 그 누구도 꺾을 수 없을 만큼 강합니다. 외유내강이란 말은 당신을 두고 하는 말이라고 생각합니다. 또한 분석력이 뛰어나서 사회를 잘 읽습니다. 자신이 가진 재능을 사회적 성취로 만드는 사람입니다. 다만, 내면의 지나치게 냉정한 기운을 자신의 재능과 잘 버무려 전문 분야를 개척한다면 큰 부와 명예를 이루는 사람입니다.","Born with a strong sense of empathy, you are highly attuned to others’ feelings. However, your inner pride is unshakable. The phrase ""outer gentleness, inner strength"" perfectly describes you. You are also an excellent analyst, able to read society well and turn your abilities into social achievements. If you balance your cool-headedness with your talents, you can amass wealth and fame by forging your own path."
경오,"마음이 넓고 쾌활한 당신은 매사에 너그럽고 온유하며 인색하지 않은 사람이에요. 반듯한 외모에 정리 정돈을 잘 하며, 경우가 밝은 사람입니다. 하지만 이상하게도 이유 없이 시기, 질투, 견제를 잘 받는군요. 너무 맑은 물에는 물고기가 안 사는 것과 같은 이치입니다. 마음 속에 원대한 이상을 품고 고상한 가치를 추구해서 그래요. 계속 추구하다 보면 위대한 업적을 남기는 사람이 됩니다.","With an open heart and a bright disposition, you are generous, gentle, and not at all stingy. You maintain a neat and orderly appearance and have a clear sense of purpose. However, for reasons unknown, you often attract envy and jealousy. This is because you pursue high ideals and noble values, which makes you a target. But if you persist in this pursuit, you will leave behind a great legacy."
기사,"조용하고 부드러운 성격이지만, 그 안에 무서운 욕망이 들끓고 있는 당신은 매우 활동적이고 일을 많이 하는 사람입니다. 학문에 관심이 많아요. 끈기와 인내로 한가지 일을 꾸준히 해내는 사람이지만 실패했을 때는 좌절의 크기가 남들보다 큽니다. 하지만 포기만 하지 않는다면 반드시 도와 주는 사람이 나타납니다. 영성이 깊어서 세상을 위해 할 수 있는 일이 많은 사람이에요.","Quiet and gentle, yet filled with a fierce desire, you are highly active and industrious. You have a deep interest in academics and tackle tasks with perseverance. However, when you fail, the disappointment is greater than others might experience. But if you never give up, help will eventually come your way. With a deep spiritual nature, you are capable of great deeds for the world."
무진,스스로 부족한 것이 없다고 생각하는 당신은 타고난 완벽주의자입니다. 예의는 지키면서도 경쟁을 통해 부와 명예를 이루는 사람이에요. 다만 내 기준이 워낙 완벽하다 보니 타인의 기준을 무시하는 경향이 있습니다. 하지만 고난을 통해 타인의 처지를 이해하게 된다면 성숙하고 책임감 강한 큰 어른이 되는 사람입니다.,"You believe you are flawless, born with a perfectionist nature. You abide by social etiquette while achieving wealth and fame through competition. However, your standards are so high that you may disregard others' perspectives. Yet, through hardship, if you learn to understand others' circumstances, you will mature into a responsible and great individual."
정묘,친절하고 귀여운 당신은 끼가 많고 촉이 뛰어난 사람이에요. 가끔 변덕과 싫증과 짜증으로 주변 사람들을 당황하게 하지만 유난히 센스 있는 스타일 덕분에 사랑받는 사람입니다. 예민한 촉과 센스를 직업적으로 잘 풀어낸다면 크게 성공하는 사람입니다.,"Friendly and charming, you have a lot of flair and a keen intuition. While you may occasionally surprise others with your mood swings or irritability, your sense of style makes you beloved by those around you. If you channel your intuitive sense into a profession, you will find great success."
병인,낙천적이고 밝고 화려한 본성을 타고난 당신은 매사에 자기 중심적이지만 원대한 포부를 지니고 있습니다. 자신에 대한 믿음을 고상한 글로 표현할 수만 있다면 크게 성공할 수 있는 사람이에요.,"Optimistic and bright, you are self-centered but have grand ambitions. If you could express your self-belief in a refined manner, you would be poised for great success."
을축,"온화함과 침착성을 겸비한 당신은 수동적이며 은근하지만 한번 찍히면 과감하게 잘라버리는 과감성도 지녔습니다. 강인한 정신적 지구력을 바탕으로 한 무지막지한 끈기로 결국 성공하고야 마는, 항상 처음보다 끝이 좋은 사람이에요.","With a calm and composed demeanor, you possess both passive and subtle qualities but also have the boldness to decisively cut ties when necessary. Your mental resilience and unwavering persistence will lead you to eventual success, and you are someone who always finishes better than you begin."
갑자,"근본이 밝고 명랑한 당신은 초봄의 솟아 오르는 생명력을 지니고 태어났습니다. 따라서 시작하는 에너지가 누구보다 강합니다. 내가 제일 처음이라는 생각은 높은 자존감과 그 어떤 역경에도 굴하지 않는 강한 자존심으로 나타납니다. 반면에 아이같이 순수한 마음을 지니고 있지요. 그 순수함이 시작하는 힘을 만드는 겁니다. 언제나 땅보다는 하늘을 보고, 고상한 가치를 추구하며 살아가려 노력합니다. 사람 사귀는 일을 좋아하고 배우는 일을 좋아합니다. 공사 구분이 명확합니다. 타고난 자존심과 고상함을 추구하는 성향이 도덕적 분별력으로 나타나기 때문이죠. 공직에 어울리는 성격입니다. 인정이 많아 남들에게 잘 퍼주는 장점도 가지고 있군요. 특히 약자에게 마음이 약해지고 밥값도 먼저 계산하려는 장점이 돋보입니다. 인자하고 멋있는 사람이라는 말입니다.","Born with a bright and cheerful disposition, you possess an innate vitality and strong sense of self-esteem. You are highly ambitious and value lofty ideals, seeking to live according to high moral principles. You enjoy learning and forming connections, always distinguishing between personal and professional life. Your respect for integrity and your strong sense of moral discernment make you well-suited for public service. You also have a generous nature, particularly toward the underprivileged, often going out of your way to help. You are seen as a kind and impressive person."
